Site,1dist,2dist,3dist,4dist,5dist,11dist,12dist,13dist,14dist,21dist,22dist,23dist,24dist,31dist,32dist,33dist,41dist,42dist,51dist,52dist,111dist,112dist,121dist,122dist,123dist,124dist,131dist,133dist,141dist,142dist,211dist,221dist,231dist,242dist,243dist,311dist,312dist,313dist,322dist,324dist,331dist,412dist,423dist,511dist,512dist,523dist,111surf,112surf,121surf,122surf,123surf,124surf,131surf,132,133surf,141surf,142surf,211surf,212,213,221surf,222,223,231surf,241,242surf,243surf,244,311surf,312surf,313surf,321,322surf,323,324surf,331surf,332,333,334,335,411,412surf,421,422,423surf,511surf,512surf,521,522,523surf,1surf,11surf,12surf,13surf,14surf,2surf,21surf,22surf,23surf,24surf,3surf,31surf,32surf,33surf,4surf,41surf,42surf,5surf,51surf,52surf,REF....SUBSTANCE,PERIOD,X6.benzylaminopurine,Aclonifen,Ametoctradin,Anthraquinone,Azoxystrobin,Benalaxyl,Boscalid,Captan,Carbendazim,Chlorothalonil,Chlorpropham,Chlorpyrifos.methyl,Clethodim,Cyflufenamid,Cymoxanil,Cyprodinil,Difenoconazole,Dimethomorph,Dimoxystrobin,Dodine,Ethofumesate,Fenoxycarb,Fenpropathrin,Fenpropimorph,Flonicamid,Fluazifop,Fluazinam,Fludioxonil,Fluopicolide,Fluopyram,Flupyradifurone,Flutolanil,Fluxapyroxad,Indoxacarb,Isofetamid,Metalaxyl,Metamitron,Methiocarb_total,Methoxyfenozide,Metobromuron,Metolachlor,Metrafenone,Penconazole,Pendimethalin,Phenmedipham,Phosmet,Pirimicarb,Prochloraz,Propyzamide,Prosulfocarb,Prothioconazole_d,Pyraclostrobin,Pyrimethanil,Quinoxyfen,Spinosad,Spirotetramat,Spiroxamine,Tau.fluvalinate,Tebuconazole,Tebufenozide,Tetraconazole,Thiabendazole,Thiacloprid,Thiophanate.methyl,Tri.allate,Trifloxystrobin,Zoxamide,Benfluralin,Benzovindiflupyr,Chlorantraniliprole,Coumaphos,Cyazofamid,Diphenylamine,Fenbuconazole,Fenpropidin,Nicosulfuron,Piperonylbutoxide,Prosulfuron,Simazine,Terbuthylazine,Deet,Dieldrin,Diflufenican,Epoxiconazole,Fenamidone,Mandipropamid,Propamocarb,Trifluralin,Cycloate,Pentachloroanisol,Propiconazole,Bupirimate,Etofenprox,Fenhexamid,Metconazole,Flucythrinate,Benthiavalicarb.iso,Cyflumetofen,Ethirimol,Imidacloprid,Propanil,Iprovalicarb,Hexaconazole,Methabenzthiazuron,Chlorotoluron,Propargite,Aldrin,Cyanofenphos,Cypermethrin,Pencycuron,X2.phenylphenol,Famoxadone,Tetradifon,Flufenacet,SEASON_x,Fungicide,Insecticide,Herbicide,Other_pesticides,LMR_Fungicide,LMR_Insecticide,LMR_Herbicide,LMR_Other_pesticides,Lead,Cadmium,Arsenic,Mercury,Copper,Chrome,Zinc,SEASON_y,Limit_Lead,Limit_Cadmium,Limit_Arsenic,Limit_Mercury,Limit_Copper,Presence_Lead,Presence_Cadmium,Presence_Arsenic,Presence_Mercury,Presence_Copper
B0012,491.38382828575055,1087.774121913763,934.164040588688,-1.0,55.2626566693585,678.4656681940476,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,1087.774121913763,934.164040588688,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,1020.03327291585,564.6097999534467,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1253.53943076388,922.008813063646,934.164040588688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,-1.0,213419.497009277,3756404.96887207,2068584.68789673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,35584.8441772461,254819.361236572,0,253441.670043945,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,486328.32611084,0.0,0,0,0.0,6038409.153778076,3969824.4658813463,2068584.68789673,0.0,0.0,290404.2054138181,0.0,0.0,0.0,290404.2054138181,253441.670043945,253441.670043945,0.0,0.0,0.0,0.0,0.0,486328.32611084,486328.32611084,0.0,B0012,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.89,0.16,0.059,0.0,7.2,0.14,43.0,2.0,False,False,False,False,False,True,True,True,False,True
B0012,491.38382828575055,1087.774121913763,934.164040588688,-1.0,55.2626566693585,678.4656681940476,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,1087.774121913763,934.164040588688,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,1020.03327291585,564.6097999534467,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1253.53943076388,922.008813063646,934.164040588688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,-1.0,213419.497009277,3756404.96887207,2068584.68789673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,35584.8441772461,254819.361236572,0,253441.670043945,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,486328.32611084,0.0,0,0,0.0,6038409.153778076,3969824.4658813463,2068584.68789673,0.0,0.0,290404.2054138181,0.0,0.0,0.0,290404.2054138181,253441.670043945,253441.670043945,0.0,0.0,0.0,0.0,0.0,486328.32611084,486328.32611084,0.0,B0012,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.63,0.64,0.053,0.0,9.1,0.16,40.0,3.0,False,False,False,False,False,True,True,True,False,True
B0012,491.38382828575055,1087.774121913763,934.164040588688,-1.0,55.2626566693585,678.4656681940476,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,1087.774121913763,934.164040588688,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,1020.03327291585,564.6097999534467,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1253.53943076388,922.008813063646,934.164040588688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,-1.0,213419.497009277,3756404.96887207,2068584.68789673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,35584.8441772461,254819.361236572,0,253441.670043945,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,486328.32611084,0.0,0,0,0.0,6038409.153778076,3969824.4658813463,2068584.68789673,0.0,0.0,290404.2054138181,0.0,0.0,0.0,290404.2054138181,253441.670043945,253441.670043945,0.0,0.0,0.0,0.0,0.0,486328.32611084,486328.32611084,0.0,B0012,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.29,0.048,0.0,11.0,0.14,51.0,0.0,False,False,False,False,False,True,True,True,False,True
B0012,491.38382828575055,1087.774121913763,934.164040588688,-1.0,55.2626566693585,678.4656681940476,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,1087.774121913763,934.164040588688,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,1020.03327291585,564.6097999534467,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1253.53943076388,922.008813063646,934.164040588688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,-1.0,213419.497009277,3756404.96887207,2068584.68789673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,35584.8441772461,254819.361236572,0,253441.670043945,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,486328.32611084,0.0,0,0,0.0,6038409.153778076,3969824.4658813463,2068584.68789673,0.0,0.0,290404.2054138181,0.0,0.0,0.0,290404.2054138181,253441.670043945,253441.670043945,0.0,0.0,0.0,0.0,0.0,486328.32611084,486328.32611084,0.0,B0012,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.23,0.0,0.0,8.7,0.11,48.0,1.0,False,False,False,False,False,True,True,False,False,True
B0012,491.38382828575055,1087.774121913763,934.164040588688,-1.0,55.2626566693585,678.4656681940476,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,1087.774121913763,934.164040588688,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,1020.03327291585,564.6097999534467,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1253.53943076388,922.008813063646,934.164040588688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,-1.0,213419.497009277,3756404.96887207,2068584.68789673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,35584.8441772461,254819.361236572,0,253441.670043945,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,486328.32611084,0.0,0,0,0.0,6038409.153778076,3969824.4658813463,2068584.68789673,0.0,0.0,290404.2054138181,0.0,0.0,0.0,290404.2054138181,253441.670043945,253441.670043945,0.0,0.0,0.0,0.0,0.0,486328.32611084,486328.32611084,0.0,B0012,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.16,0.059,0.0,7.2,0.14,43.0,2.0,False,False,False,False,False,True,True,True,False,True
B0012,491.38382828575055,1087.774121913763,934.164040588688,-1.0,55.2626566693585,678.4656681940476,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,1087.774121913763,934.164040588688,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,1020.03327291585,564.6097999534467,117.2201484691565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1253.53943076388,922.008813063646,934.164040588688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.2626566693585,-1.0,-1.0,213419.497009277,3756404.96887207,2068584.68789673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,35584.8441772461,254819.361236572,0,253441.670043945,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,486328.32611084,0.0,0,0,0.0,6038409.153778076,3969824.4658813463,2068584.68789673,0.0,0.0,290404.2054138181,0.0,0.0,0.0,290404.2054138181,253441.670043945,253441.670043945,0.0,0.0,0.0,0.0,0.0,486328.32611084,486328.32611084,0.0,B0012,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.64,0.053,0.0,9.1,0.16,40.0,3.0,False,False,False,False,False,True,True,True,False,True
B0017,843.971690073536,833.691580658613,792.501379816565,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,195.472480466665,1046.4312807225958,792.501379816565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195.472480466665,1016.9020127700784,1105.48981662763,731.014918287365,748.0121958257487,822.5943457187317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1755394.82446289,3380.72317504883,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,981187.386444092,0,419758.034484863,195421.064819336,0,744417.421112061,1097484.26599121,1871539.63323975,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,1758775.5476379388,1755394.82446289,3380.72317504883,0.0,0.0,1596366.485748291,0.0,0.0,981187.386444092,615179.099304199,3713441.320343021,3713441.320343021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0017,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.42,0.0,0.0,7.9,0.066,45.0,0.0,False,False,False,False,False,True,True,False,False,True
B0017,843.971690073536,833.691580658613,792.501379816565,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,195.472480466665,1046.4312807225958,792.501379816565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195.472480466665,1016.9020127700784,1105.48981662763,731.014918287365,748.0121958257487,822.5943457187317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1755394.82446289,3380.72317504883,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,981187.386444092,0,419758.034484863,195421.064819336,0,744417.421112061,1097484.26599121,1871539.63323975,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,1758775.5476379388,1755394.82446289,3380.72317504883,0.0,0.0,1596366.485748291,0.0,0.0,981187.386444092,615179.099304199,3713441.320343021,3713441.320343021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0017,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.13,0.0,0.0,6.8,0.046,30.0,1.0,False,False,False,False,False,True,True,False,False,True
B0017,843.971690073536,833.691580658613,792.501379816565,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,195.472480466665,1046.4312807225958,792.501379816565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195.472480466665,1016.9020127700784,1105.48981662763,731.014918287365,748.0121958257487,822.5943457187317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1755394.82446289,3380.72317504883,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,981187.386444092,0,419758.034484863,195421.064819336,0,744417.421112061,1097484.26599121,1871539.63323975,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,1758775.5476379388,1755394.82446289,3380.72317504883,0.0,0.0,1596366.485748291,0.0,0.0,981187.386444092,615179.099304199,3713441.320343021,3713441.320343021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0017,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.045,0.039,0.0,6.9,0.06,30.0,2.0,False,False,False,False,False,True,True,True,False,True
B0017,843.971690073536,833.691580658613,792.501379816565,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,195.472480466665,1046.4312807225958,792.501379816565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195.472480466665,1016.9020127700784,1105.48981662763,731.014918287365,748.0121958257487,822.5943457187317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1755394.82446289,3380.72317504883,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,981187.386444092,0,419758.034484863,195421.064819336,0,744417.421112061,1097484.26599121,1871539.63323975,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,1758775.5476379388,1755394.82446289,3380.72317504883,0.0,0.0,1596366.485748291,0.0,0.0,981187.386444092,615179.099304199,3713441.320343021,3713441.320343021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0017,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.16,0.0,0.0,5.8,0.039,21.0,3.0,False,False,False,False,False,True,True,False,False,True
B0017,843.971690073536,833.691580658613,792.501379816565,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,195.472480466665,1046.4312807225958,792.501379816565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.733941761742,1457.20943838533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195.472480466665,1016.9020127700784,1105.48981662763,731.014918287365,748.0121958257487,822.5943457187317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1755394.82446289,3380.72317504883,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,981187.386444092,0,419758.034484863,195421.064819336,0,744417.421112061,1097484.26599121,1871539.63323975,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,1758775.5476379388,1755394.82446289,3380.72317504883,0.0,0.0,1596366.485748291,0.0,0.0,981187.386444092,615179.099304199,3713441.320343021,3713441.320343021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0017,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.42,0.0,0.0,7.9,0.066,45.0,0.0,False,False,False,False,False,True,True,False,False,True
